CNN,relu,SVHN,0.25,probOut,1,0.5,256,None,0.0622695144438,[0.062269514443761498]
CNN,relu,SVHN,0.25,probOut,2,0.5,256,10,0.0503610940381,[0.050361094038106957]
CNN,relu,SVHN,0.25,probOut,4,0.5,256,10,0.0455208973571,[0.045520897357098966]
CNN,relu,SVHN,0.25,singleOut,1,None,256,None,0.0588890596189,[0.058889059618930539]
CNN,relu,SVHN,0.25,singleOut,2,None,256,10,0.0557775046097,[0.055777504609711093]
CNN,relu,SVHN,0.25,singleOut,4,None,256,10,0.0488245236632,[0.048824523663183794]
CNN,relu,SVHN,0.5,probOut,1,0.5,256,None,0.0401429010449,[0.04014290104486784]
CNN,relu,SVHN,0.5,probOut,2,0.5,256,10,0.0374154886294,[0.037415488629379268]
CNN,relu,SVHN,0.5,probOut,4,0.5,256,10,0.0407959434542,[0.040795943454210226]
CNN,relu,SVHN,0.5,singleOut,1,None,256,None,0.0523202212661,[0.052320221266134004]
CNN,relu,SVHN,0.5,singleOut,2,None,256,10,0.0510525507068,[0.051052550706822353]
CNN,relu,SVHN,0.5,singleOut,4,None,256,10,0.0484787953288,[0.048478795328826041]
CNN,relu,SVHN,1,probOut,1,0.5,256,None,0.038299016595,[0.038299016594960045]
CNN,relu,SVHN,1,probOut,2,0.5,256,10,0.0385295021512,[0.038529502151198547]
CNN,relu,SVHN,1,probOut,4,0.5,256,10,0.0402197295636,[0.040219729563613971]
CNN,relu,SVHN,1,singleOut,1,None,256,None,0.0444452980947,[0.044445298094652697]
CNN,relu,SVHN,1,singleOut,2,None,256,10,0.042831899201,[0.042831899200983403]
CNN,relu,SVHN,1,singleOut,4,None,256,10,0.0449446834665,[0.044944683466502711]
